Song Name,Artist Name,Release Date,Genres,Tracks,Popularity,Album Name,Album Type,Song Duration (ms)
BIRDS OF A FEATHER,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",98,HIT ME HARD AND SOFT,album,210373
LUNCH,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",95,HIT ME HARD AND SOFT,album,179586
CHIHIRO,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",94,HIT ME HARD AND SOFT,album,303440
WILDFLOWER,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",90,HIT ME HARD AND SOFT,album,261466
BLUE,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",89,HIT ME HARD AND SOFT,album,343120
L’AMOUR DE MA VIE,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",89,HIT ME HARD AND SOFT,album,333986
THE GREATEST,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",87,HIT ME HARD AND SOFT,album,293840
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,"art pop, pop","What Was I Made For? [From The Motion Picture ""Barbie""]",87,"What Was I Made For? [From The Motion Picture ""Barbie""]",single,222369
lovely (with Khalid),Billie Eilish,2018-04-19,"art pop, pop",lovely (with Khalid),86,lovely (with Khalid),single,200185
SKINNY,Billie Eilish,2024-05-17,"art pop, pop","SKINNY, LUNCH, CHIHIRO, BIRDS OF A FEATHER, WILDFLOWER, THE GREATEST, L’AMOUR DE MA VIE, THE DINER, BITTERSUITE, BLUE",87,HIT ME HARD AND SOFT,album,219733
